File,Journal No,Journal Date,Account,Amount_Debit,Amount_Credit,Description,Currency Code,Exchange Rate
OB,5251,15/4/2025,InstantCash,,445.81,NUR AINA FAZIRA BINTI MOHD NAJIB MY 008Y1N7QKBYRAMN,USD,4.4438887
RFX,MM75377,17/4/2025,InstantCash,,163.07,RFX1008S9XRUYX62,USD,4.4240063
RFX,MM76017,17/4/2025,InstantCash,,244.61,RFX100ZHE6XQE09I,USD,4.4240063
RFX,MM76167,23/4/2025,InstantCash,,669.65,RFX1023ZTJBNY0UY,USD,4.4091429
RFX,MM76243,10/4/2025,InstantCash,,661.97,RFX1026KWY0F3LBV,USD,4.4671047
RFX,MM76253,8/4/2025,InstantCash,,735.92,RFX1026WSU6VMEQZ,USD,4.4510958
RFX,MM76281,8/4/2025,InstantCash,,449.85,RFX1027Q3Z8C6HSD,USD,4.4510958
RFX,MM76533,30/4/2025,InstantCash,,339.32,RFX102EJQW1SAZB9,USD,4.3429503
RFX,MM76537,1/4/2025,InstantCash,,242.52,RFX102EU7PZFAE3E,USD,4.4302611
RFX,MM76817,22/4/2025,InstantCash,,1566.1,RFX102LYA4M95887,USD,4.4134697
RFX,MM76879,9/4/2025,InstantCash,,549.99,RFX102NF8932P7FS,USD,4.4707229
RFX,MM76901,22/4/2025,InstantCash,,1709.76,RFX102O6ES5DKMOK,USD,4.4134697
RFX,MM77017,22/4/2025,InstantCash,,443.62,RFX102RVH39K1LEO,USD,4.4134697
RFX,MM77083,16/4/2025,InstantCash,,198.59,RFX102UCASWV7PN7,USD,4.4289896
RFX,MM77143,19/4/2025,InstantCash,,556.47,RFX102VW2TK1UN9I,USD,4.4271778
RFX,MM77247,5/4/2025,InstantCash,,577.02,RFX102YLWI086WDR,USD,4.4317859
RFX,MM77257,18/4/2025,InstantCash,,142.69,RFX102YS6K3SGMXH,USD,4.4271778
RFX,MM77507,6/4/2025,InstantCash,,404.99,RFX1250NQR17PV7E,USD,4.4324334
RFX,MM77513,2/4/2025,InstantCash,,337.26,RFX1252FB69M1HKR,USD,4.4310425
RFX,MM77517,19/4/2025,InstantCash,,358.87,RFX1253J0HIQTSL4,USD,4.4271778
RFX,MM77535,30/4/2025,InstantCash,,662.25,RFX1257GIBFTJ1YW,USD,4.3429503
RFX,MM77551,2/4/2025,InstantCash,,368.74,RFX1259XKD69K2O8,USD,4.4310425
RFX,MM77555,6/4/2025,InstantCash,,674.98,RFX125AUWFA1OKZA,USD,4.4324334
RFX,MM77565,5/4/2025,InstantCash,,326.01,RFX125DDFHH7K0MB,USD,4.4317859
RFX,MM77577,8/4/2025,InstantCash,,793.69,RFX125JZUQJC04PB,USD,4.4510958
RFX,MM77583,30/4/2025,InstantCash,,91.35,RFX125LOWF58PAT1,USD,4.3429503
RFX,MM77587,6/4/2025,InstantCash,,314.98,RFX125MECGTF6RPY,USD,4.4324334
RFX,MM77609,2/4/2025,InstantCash,,382.22,RFX125SWKXU88TXP,USD,4.4310425
RFX,MM77613,5/4/2025,InstantCash,,278.79,RFX125U1T6XQDQ0N,USD,4.4317859
RFX,MM77619,9/4/2025,InstantCash,,396.42,RFX125UPKUGKBEGH,USD,4.4707229
RFX,MM77625,27/4/2025,InstantCash,,204.8,RFX125WSBREVQFFQ,USD,4.3893019
RFX,MM77639,7/4/2025,InstantCash,,226.06,RFX125Y2AZ88TKT0,USD,4.4340335
RFX,MM77879,16/4/2025,InstantCash,,815.39,RFX137Q617A334J,USD,4.4289896
RFX,MM78159,17/4/2025,InstantCash,,1630.78,RFX13GTYAO4Q5OX,USD,4.4240063
RFX,MM78235,24/4/2025,InstantCash,,1220.5,RFX13JDAA5TPFE5,USD,4.4017827
RFX,MM78237,4/4/2025,InstantCash,,1217.53,RFX13JEOPYWUHVE,USD,4.4317859
RFX,MM78301,22/4/2025,InstantCash,,2036.65,RFX13LR7LU0BYEA,USD,4.4134697
RFX,MM78335,18/4/2025,InstantCash,,1508.47,RFX13MNRIVUVQAA,USD,4.4271778
RFX,MM78359,23/4/2025,InstantCash,,1221.99,RFX13NBFGWEUZW1,USD,4.4091429
RFX,MM78415,21/4/2025,InstantCash,,37.88,RFX13OOEUEWKBG3,USD,4.4166072
RFX,MM78537,29/4/2025,InstantCash,,2438.03,RFX13ROH70J5DPU,USD,4.3677542
RFX,MM78633,28/4/2025,InstantCash,,3575.78,RFX13U1ZSPGF3VX,USD,4.3801959
RFX,MM78697,11/4/2025,InstantCash,,1631.98,RFX13W3BTQJ38GF,USD,4.4600223
RFX,MM78699,23/4/2025,InstantCash,,2443.99,RFX13W4TZOQD260,USD,4.4091429
RFX,MM78721,29/4/2025,InstantCash,,2438.03,RFX13WLMOCHMIMS,USD,4.3677542
RFX,MM78729,9/4/2025,InstantCash,,3252.02,RFX13X4YTMAFMRB,USD,4.4707229
RFX,MM78809,7/4/2025,InstantCash,,2050.86,RFX13ZFO8HN5DQ1,USD,4.4340335
RFX,MM78827,21/4/2025,InstantCash,,3422.98,RFX13ZL02SJUL6F,USD,4.4166072
RFX,MM80617,7/4/2025,InstantCash,,335.32,RFX3000XCZOTO9L,USD,4.4340335
RFX,MM80621,9/4/2025,InstantCash,,287.47,RFX3001EPTYXN2X,USD,4.4707229
RFX,MM80629,6/4/2025,InstantCash,,449.82,RFX3001U7655DTL,USD,4.4324334
RFX,MM80633,5/4/2025,InstantCash,,447.57,RFX30020SO83Y09,USD,4.4317859
RFX,MM80641,23/4/2025,InstantCash,,447.96,RFX3002FJFQ263H,USD,4.4091429
RFX,MM80647,5/4/2025,InstantCash,,395.84,RFX3002S2DT2NIX,USD,4.4317859
RFX,MM80649,5/4/2025,InstantCash,,155.19,RFX3002S5SS26LV,USD,4.4317859
RFX,MM80651,8/4/2025,InstantCash,,489.5,RFX3002S5WM2LYM,USD,4.4510958
RFX,MM80659,18/4/2025,InstantCash,,225.61,RFX3003FHWH7LNT,USD,4.4271778
RFX,MM80663,13/4/2025,InstantCash,,403.91,RFX3003W07PJRU6,USD,4.4600223
RFX,MM80669,24/4/2025,InstantCash,,809.14,RFX30041WHUQTDE,USD,4.4017827
RFX,MM80673,30/4/2025,InstantCash,,342.68,RFX30047HMKIYKH,USD,4.3429503
RFX,MM80683,15/4/2025,InstantCash,,382.01,RFX3004ME9AMR95,USD,4.4438887
RFX,MM80697,20/4/2025,InstantCash,,473.28,RFX3005AH15C1OQ,USD,4.4271778
RFX,MM80701,6/4/2025,InstantCash,,649.99,RFX3005C3PW05PA,USD,4.4324334
RFX,MM80703,5/4/2025,InstantCash,,359.85,RFX3005IN711P68,USD,4.4317859
RFX,MM80705,3/4/2025,InstantCash,,427.34,RFX3005QMCONOA8,USD,4.4332058
RFX,MM80711,16/4/2025,InstantCash,,303.81,RFX3005TZFJ8RB1,USD,4.4289896
RFX,MM80717,9/4/2025,InstantCash,,85.52,RFX300655TBWT74,USD,4.4707229
RFX,MM80731,6/4/2025,InstantCash,,448.09,RFX3006WKYL4NGG,USD,4.4324334
RFX,MM80739,6/4/2025,InstantCash,,407.08,RFX30075BXKK3AP,USD,4.4324334
RFX,MM80741,11/4/2025,InstantCash,,290.12,RFX30076I4JJGVK,USD,4.4600223
RFX,MM80765,8/4/2025,InstantCash,,680.17,RFX3007Y32CILZ8,USD,4.4510958
RFX,MM80771,12/4/2025,InstantCash,,120.73,RFX3008RUW53TFM,USD,4.4600223
RFX,MM80777,2/4/2025,InstantCash,,303.75,RFX30092VHRHM28,USD,4.4310425
RFX,MM80799,6/4/2025,InstantCash,,851.96,RFX300ACPU3AMIT,USD,4.4324334
RFX,MM80833,8/4/2025,InstantCash,,318.9,RFX300BBGUOUP3X,USD,4.4510958
RFX,MM80839,5/4/2025,InstantCash,,503.8,RFX300BJTAFBJF5,USD,4.4317859
