Sl.,Voucher No.,Trans. Date,Value Date,Narration,Dr,Cr
1,JP8750,1-Apr-25,1-Apr-25,CASH RECD-ICTC 216750075// RFX35QEXRL8R9UK//14000010000/BTK/35006.000                                                                       ,284.13,0
2,JP8841,1-Apr-25,1-Apr-25,CASH RECD-ICTC 216750104// RFX102EU7PZFAE3E//14000010000/BTK/29648.000                                                                      ,242.52,0
3,JP8843,1-Apr-25,1-Apr-25,CASH RECD-ICTC 216750106// RFX412P7CKF8TJB//14000010000/BTK/88896.000                                                                       ,721.55,0
4,JP8968,1-Apr-25,1-Apr-25,CASH RECD-ICTC 216750138// RFX66XW6VVSL76M//14000010000/BTK/80330.000                                                                       ,652.02,0
5,JP8997,1-Apr-25,1-Apr-25,CASH RECD-ICTC 216750143// RFX35YHW4T0CG5Q//14000010000/BTK/69400.000                                                                       ,563.31,0
6,JP9014,1-Apr-25,1-Apr-25,CASH RECD-ICTC 216750146// RFX66BIV42KKR1C//14000010000/BTK/49860.000                                                                       ,404.7,0
7,JP9018,1-Apr-25,1-Apr-25,CASH RECD-ICTC 216750148// RFX353EDWZNHWM7//14000010000/BTK/89971.000                                                                       ,730.28,0
8,JP9127,1-Apr-25,1-Apr-25,CASH RECD-ICTC 216750163// RFX3558NS25XJ1W//14000010000/BTK/48303.000                                                                       ,392.06,0
9,JP9128,1-Apr-25,1-Apr-25,CASH RECD-ICTC 216750164// RFX35XJS41OVF6D//14000010000/BTK/40280.000                                                                       ,326.94,0
10,JP9130,1-Apr-25,1-Apr-25,CASH RECD-ICTC 216750166// RFX35BLMKMCT38C//14000010000/BTK/100020.000                                                                      ,811.85,0
11,JP9147,1-Apr-25,1-Apr-25,CASH RECD-ICTC 216750172// RFX41XY9MN8L5UJ//14000010000/BTK/50004.000                                                                       ,405.87,0
12,JP9178,1-Apr-25,1-Apr-25,CASH RECD-ICTC 216750180// RFX3541PVYW19V6//14000010000/BTK/24984.000                                                                       ,202.79,0
13,JP9192,1-Apr-25,1-Apr-25,CASH RECD-ICTC 216750186// RFX6667GQ0OA4EG//14000010000/BTK/39888.000                                                                       ,323.76,0
14,JP9265,1-Apr-25,1-Apr-25,CASH RECD-ICTC 216750209// RFX35IB9IGDFTG4//14000010000/BTK/10908.000                                                                       ,89.22,0
15,JP9359,1-Apr-25,1-Apr-25,CASH RECD-ICTC 216750274// RFX41UP1SK7QBH8//14000010000/BTK/63894.000                                                                       ,518.62,0
16,JP9422,1-Apr-25,1-Apr-25,CASH RECD-ICTC 216750313// RFX35PAUN374LQI//14000010000/BTK/100075.000                                                                      ,812.29,0
17,JP9534,1-Apr-25,1-Apr-25,CASH RECD-ICTC 216750385// RFX30QGWTDRB8W7//14000010000/BTK/50000.000                                                                       ,405.84,0
18,JP9537,1-Apr-25,1-Apr-25,CASH RECD-ICTC 216750388// RFX35YDBH9WBP71//14000010000/BTK/38476.000                                                                       ,312.3,0
19,JQ0002,1-Apr-25,1-Apr-25,CASH RECD-ICTC 216750685// RFX353L46G2HYW6//14000010000/BTK/20511.000                                                                       ,166.48,0
20,JQ0006,1-Apr-25,1-Apr-25,CASH RECD-ICTC 216750688// RFX35IE2O2LVAAJ//14000010000/BTK/41548.000                                                                       ,337.24,0
21,JQ0016,1-Apr-25,1-Apr-25,CASH RECD-ICTC 216750695// RFX35TEH22MK5SJ//14000010000/BTK/41548.000                                                                       ,337.24,0
22,JQ0018,1-Apr-25,1-Apr-25,CASH RECD-ICTC 216750703// RFX35V2CIXTH05Y//14000010000/BTK/41548.000                                                                       ,337.24,0
23,JQ0021,1-Apr-25,1-Apr-25,CASH RECD-ICTC 216750707// RFX35XYC6PR1WT7//14000010000/BTK/91372.000                                                                       ,741.65,0
24,JQ0129,1-Apr-25,1-Apr-25,CASH RECD-ICTC 216750788// RFX418TWSMX5M9M//14000010000/BTK/100008.000                                                                      ,811.75,0
25,JQ0163,1-Apr-25,1-Apr-25,CASH RECD-ICTC 216750805// RFX35P2C1EQFJKU//14000010000/BTK/44972.000                                                                       ,365.03,0
26,JQ0165,1-Apr-25,1-Apr-25,CASH RECD-ICTC 216750804// RFX35XDHRAE823Q//14000010000/BTK/56631.000                                                                       ,459.66,0
27,JQ0387,1-Apr-25,1-Apr-25,CASH RECD-ICTC 216750929// RFX41DZUX1UWJQV//14000010000/BTK/38892.000                                                                       ,315.68,0
28,JQ0657,1-Apr-25,1-Apr-25,IC CANCELLED -216311579                                                                                                                     ,0,831.26
29,JQ0874,1-Apr-25,1-Apr-25,CASH RECD-ICTC 216751282// RFX30RQT0GSQ87X//14000010000/BTK/66206.000                                                                       ,537.38,0
30,JQ2551,1-Apr-25,1-Apr-25,CASH RECD-ICTC 216752338// RFX35JP7RFN8YYE//14000010000/BTK/62183.000                                                                       ,504.73,0
31,JQ3048,1-Apr-25,1-Apr-25,CASH RECD-ICTC 216752690// RFX35E61RAOOG69//14000010000/BTK/44139.000                                                                       ,358.27,0
